word,vowels,condition,harmonic,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
g u t u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
b u d u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
t o k u,o u,training,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
m o t u,o u,training,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
b u n o,u o,training,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
m u t o,u o,training,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
p o d o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
d o b o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
n o d i,o i,training,FALSE,-4.561919533,-5.752635847,-5.752476182,1.2805414489374074,1.2805385479259344,1.0068062095007226,1.006812782410211
b o k i,o i,training,FALSE,-4.561919533,-5.752635847,-5.752476182,1.2805414489374074,1.2805385479259344,1.0068062095007226,1.006812782410211
k i g o,i o,training,FALSE,-4.561919533,-8.468152886,-8.467240109,1.1751515682811373,1.175158557760217,1.0076919490932823,1.0076978618344437
m i k o,i o,training,FALSE,-4.561919533,-8.468152886,-8.467240109,1.1751515682811373,1.175158557760217,1.0076919490932823,1.0076978618344437
g u b e,u e,training,FALSE,-4.299063732,-7.971065262,-7.970196979,1.2679263528545885,1.2679246230042482,1.0055125635168523,1.0055201006195555
p u m e,u e,training,FALSE,-4.299063732,-7.971065262,-7.970196979,1.2679263528545885,1.2679246230042482,1.0055125635168523,1.0055201006195555
n e p u,e u,training,FALSE,-4.299063732,-6.430015133,-6.429431634,1.295779417343708,1.2957752464868868,1.0086009976224886,1.0086062328224716
p e k u,e u,training,FALSE,-4.299063732,-6.430015133,-6.429431634,1.295779417343708,1.2957752464868868,1.0086009976224886,1.0086062328224716
n e k o,e o,training,FALSE,-4.882260275,-7.999061128,-7.997974418,1.2480893329653575,1.248089608114631,1.0072723882336487,1.007278613686123
k e t o,e o,training,FALSE,-4.882260275,-7.999061128,-7.997974418,1.2480893329653575,1.248089608114631,1.0072723882336487,1.007278613686123
g o m e,o e,training,FALSE,-4.882260275,-7.138457137,-7.138122823,1.2721152683397663,1.272113152876291,1.0071558435504173,1.0071621558671449
d o p e,o e,training,FALSE,-4.882260275,-7.138457137,-7.138122823,1.2721152683397663,1.272113152876291,1.0071558435504173,1.0071621558671449
n u b i,u i,training,FALSE,-3.978722989,-6.971216726,-6.970018295,1.2763525334522297,1.2763500180538916,1.003974173698196,1.0039828574090464
k u n i,u i,training,FALSE,-3.978722989,-6.971216726,-6.970018295,1.2763525334522297,1.2763500180538916,1.003974173698196,1.0039828574090464
g i b u,i u,training,FALSE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
t i d u,i u,training,FALSE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
d e k e,e e,blick,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
n e p e,e e,blick,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
p e m i,e i,blick,TRUE,-3.278985186,-3.084222176,-3.084523767,1.4092240120012998,1.4092092650390706,1.073271642347676,1.0732286765733452
t e b i,e i,blick,TRUE,-3.278985186,-3.084222176,-3.084523767,1.4092240120012998,1.4092092650390706,1.073271642347676,1.0732286765733452
k i p e,i e,blick,TRUE,-3.278985186,-6.478915824,-6.478924186,1.3278600667194385,1.3278528196350132,1.029380914642674,1.029370661946243
g i k e,i e,blick,TRUE,-3.278985186,-6.478915824,-6.478924186,1.3278600667194385,1.3278528196350132,1.029380914642674,1.029370661946243
d i n i,i i,blick,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
k i b i,i i,blick,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
m o g o,o o,blick,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
g o n o,o o,blick,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
p o d u,o u,blick,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
b o g u,o u,blick,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
b u t o,u o,blick,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
n u m o,u o,blick,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
t u d u,u u,blick,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
m u t u,u u,blick,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
d o k e,o e,blick,FALSE,-4.882260275,-7.138457137,-7.138122823,1.2721152683397663,1.272113152876291,1.0071558435504173,1.0071621558671449
n e p o,e o,blick,FALSE,-4.882260275,-7.999061128,-7.997974418,1.2480893329653575,1.248089608114631,1.0072723882336487,1.007278613686123
p o m i,o i,blick,FALSE,-4.561919533,-5.752635847,-5.752476182,1.2805414489374074,1.2805385479259344,1.0068062095007226,1.006812782410211
t e b u,e u,blick,FALSE,-4.299063732,-6.430015133,-6.429431634,1.295779417343708,1.2957752464868868,1.0086009976224886,1.0086062328224716
k u p e,u e,blick,FALSE,-4.299063732,-7.971065262,-7.970196979,1.2679263528545885,1.2679246230042482,1.0055125635168523,1.0055201006195555
g i k o,i o,blick,FALSE,-4.561919533,-8.468152886,-8.467240109,1.1751515682811373,1.175158557760217,1.0076919490932823,1.0076978618344437
d i n u,i u,blick,FALSE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
k u b i,u i,blick,FALSE,-3.978722989,-6.971216726,-6.970018295,1.2763525334522297,1.2763500180538916,1.003974173698196,1.0039828574090464
