word,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
o i,-4.605101042,-5.809638189,-5.80910811,1.2717521313715185,1.2717404653540727,1.0070052539404553,1.0070373386064906
o i,-4.605101042,-5.809638189,-5.80910811,1.2717521313715185,1.2717404653540727,1.0070052539404553,1.0070373386064906
i o,-4.605101042,-6.579917399,-6.579462851,1.1737603522043871,1.173796186697342,1.0078225335668418,1.0078515761312086
i o,-4.605101042,-6.579917399,-6.579462851,1.1737603522043871,1.173796186697342,1.0078225335668418,1.0078515761312086
u e,-4.220570974,-6.461292342,-6.458682345,1.279035055850138,1.2790198195044151,1.0057793345008756,1.0058159823194137
u e,-4.220570974,-6.461292342,-6.458682345,1.279035055850138,1.2790198195044151,1.0057793345008756,1.0058159823194137
e u,-4.220570974,-6.440012239,-6.437699524,1.2878533629542208,1.2878384292216127,1.0085814360770577,1.0086076538327324
e u,-4.220570974,-6.440012239,-6.437699524,1.2878533629542208,1.2878384292216127,1.0085814360770577,1.0086076538327324
e o,-4.407265716,-6.630017824,-6.628214356,1.2472228900995799,1.2472269226280779,1.0074138937536485,1.0074444573688497
e o,-4.407265716,-6.630017824,-6.628214356,1.2472228900995799,1.2472269226280779,1.0074138937536485,1.0074444573688497
o e,-4.407265716,-6.059911076,-6.058705074,1.2840697028834858,1.2840522870368827,1.0072971395213077,1.0073281377224612
o e,-4.407265716,-6.059911076,-6.058705074,1.2840697028834858,1.2840522870368827,1.0072971395213077,1.0073281377224612
u i,-4.4184063,-6.631896005,-6.627331949,1.2667174843381708,1.2667079978216051,1.0040863981319323,1.0041293474467838
u i,-4.4184063,-6.631896005,-6.627331949,1.2667174843381708,1.2667079978216051,1.0040863981319323,1.0041293474467838
i u,-4.4184063,-7.981414335,-7.964803518,1.214390825059028,1.214407693290877,1.0013426736719206,1.0013958357566592
i u,-4.4184063,-7.981414335,-7.964803518,1.214390825059028,1.214407693290877,1.0013426736719206,1.0013958357566592
