type,word
accusative,m a l u m a t f y ɾ u ʃ u
accusative,m a l u m a t f u ɾ u ʃ u
possessive,m a l u m a t f y ɾ u ʃ u m
possessive,m a l u m a t f u ɾ u ʃ u m
citation,m a l z e m e
profs,m a l z e m e d͡ʒ i
predicative,m a l z e m e j i m
accusative,m a l z e m e j i
possessive,m a l z e m e m
citation,m a m a
profs,m a m a d͡ʒ ɯ
predicative,m a m a j ɯ m
accusative,m a m a j ɯ
possessive,m a m a m
profs,m a m a f i d͡ʒ i
citation,m a m b o
profs,m a m b o d͡ʒ u
predicative,m a m b o j u m
accusative,m a m b o j u
possessive,m a m b o m
citation,m a m e ɫ e k
profs,m a m e ɫ e k t͡ʃ i
predicative,m a m e ɫ e k i m
accusative,m a m e ɫ e k i
possessive,m a m e ɫ e i m
citation,m a m u l
profs,m a m u l d͡ʒ y
predicative,m a m u l y m
accusative,m a m u l y
possessive,m a m u l y m
citation,m a m u ɾ
profs,m a m u ɾ d͡ʒ u
predicative,m a m u ɾ u m
accusative,m a m u ɾ u
possessive,m a m u ɾ u m
citation,a s ɯ ɫ ɯ
profs,a s ɯ ɫ ɯ d͡ʒ ɯ
predicative,a s ɯ ɫ ɯ j ɯ m
accusative,a s ɯ ɫ ɯ j ɯ
citation,m a m u t
profs,m a m u t t͡ʃ u
predicative,m a m u t u m
accusative,m a m u t u
possessive,m a m u t u m
citation,m a n a ɫ ɯ
profs,m a n a ɫ ɯ d͡ʒ ɯ
predicative,m a n a ɫ ɯ j ɯ m
accusative,m a n a ɫ ɯ j ɯ
possessive,m a n a ɫ ɯ m
citation,m a n a s t ɯ ɾ
profs,m a n a s t ɯ ɾ d͡ʒ ɯ
predicative,m a n a s t ɯ ɾ ɯ m
accusative,m a n a s t ɯ ɾ ɯ
possessive,m a n a s t ɯ ɾ ɯ m
citation,m a n a v
profs,m a n a v d͡ʒ ɯ
profs,m a n a v
predicative,m a n a v ɯ m
accusative,m a n a v ɯ
possessive,m a n a v ɯ m
citation,a s ɯ ɫ m a k
aorist,a s ɯ ɫ ɯ ɾ
infinitive,a s ɯ ɫ t ɯ ɾ
citation,m a n d͡ʒ ɯ n ɯ k
profs,m a n d͡ʒ ɯ n ɯ k t͡ʃ ɯ
predicative,m a n d͡ʒ ɯ n ɯ ɯ m
accusative,m a n d͡ʒ ɯ n ɯ ɯ
possessive,m a n d͡ʒ ɯ n ɯ ɯ m
citation,m a n d a
profs,m a n d a d͡ʒ ɯ
predicative,m a n d a j ɯ m
accusative,m a n d a j ɯ
possessive,m a n d a m
citation,m a n d a ɫ
profs,m a n d a ɫ d͡ʒ ɯ
predicative,m a n d a ɫ ɯ m
accusative,m a n d a ɫ ɯ
possessive,m a n d a ɫ ɯ m
citation,m a n d a ɫ i n a
profs,m a n d a ɫ i n a d͡ʒ ɯ
predicative,m a n d a ɫ i n a j ɯ m
accusative,m a n d a ɫ i n a j ɯ
possessive,m a n d a ɫ i n a m
citation,m a n d a t e ɾ
profs,m a n d a t e ɾ d͡ʒ i
predicative,m a n d a t e ɾ i m
accusative,m a n d a t e ɾ i
possessive,m a n d a t e ɾ i m
citation,m a n d e p s i
profs,m a n d e p s i d͡ʒ i
predicative,m a n d e p s i j i m
accusative,m a n d e p s i j i
possessive,m a n d e p s i m
citation,m a n d ɯ ɾ a
profs,m a n d ɯ ɾ a d͡ʒ ɯ
predicative,m a n d ɯ ɾ a j ɯ m
accusative,m a n d ɯ ɾ a j ɯ
possessive,m a n d ɯ ɾ a m
citation,a s ɯ ɫ s ɯ z
profs,a s ɯ ɫ s ɯ z d͡ʒ ɯ
predicative,a s ɯ ɫ s ɯ z ɯ m
accusative,a s ɯ ɫ s ɯ z ɯ
possessive,a s ɯ ɫ s ɯ z ɯ m
citation,m a n d o ɫ i n
profs,m a n d o ɫ i n d͡ʒ i
predicative,m a n d o ɫ i n i m
accusative,m a n d o ɫ i n i
possessive,m a n d o ɫ i n i m
citation,m a n e ʒ
profs,m a n e ʒ d͡ʒ i
predicative,m a n e ʒ i m
accusative,m a n e ʒ i
possessive,m a n e ʒ i m
citation,m a n e v i
profs,m a n e v i d͡ʒ i
predicative,m a n e v i j i m
accusative,m a n e v i j i
possessive,m a n e v i m
citation,a s i ɫ z a d e
profs,a s i ɫ z a d e d͡ʒ i
predicative,a s i ɫ z a d e j i m
accusative,a s i ɫ z a d e j i
possessive,a s i ɫ z a d e m
profs,m n e v i d͡ʒ i
citation,m a n e v ɾ a
profs,m a n e v ɾ a d͡ʒ ɯ
predicative,m a n e v ɾ a j ɯ m
accusative,m a n e v ɾ a j ɯ
possessive,m a n e v ɾ a m
citation,m a n g a
profs,m a n g a d͡ʒ ɯ
predicative,m a n g a j ɯ m
accusative,m a n g a j ɯ
possessive,m a n g a m
citation,m a n g a ɫ
profs,m a n g a ɫ d͡ʒ ɯ
predicative,m a n g a ɫ ɯ m
accusative,m a n g a ɫ ɯ
possessive,m a n g a ɫ ɯ m
citation,m a n g a n e z
profs,m a n g a n e z d͡ʒ i
predicative,m a n g a n e z i m
accusative,m a n g a n e z i
possessive,m a n g a n e z i m
citation,m a n g ɯ ɾ
profs,m a n g ɯ ɾ d͡ʒ ɯ
predicative,m a n g ɯ ɾ ɯ m
accusative,m a n g ɯ ɾ ɯ
possessive,m a n g ɯ ɾ ɯ m
citation,m a n g i z
profs,m a n g i z d͡ʒ i
predicative,m a n g i z i m
accusative,m a n g i z i
possessive,m a n g i z i m
citation,m a n i a
profs,m a n i a d͡ʒ ɯ
predicative,m a n i a j ɯ m
accusative,m a n i a j ɯ
possessive,m a n i a m
citation,m a n i d a ɾ
profs,m a n i d a ɾ d͡ʒ ɯ
predicative,m a n i d a ɾ ɯ m
accusative,m a n i d a ɾ ɯ
possessive,m a n i d a ɾ ɯ m
citation,m a n i f a t u ɾ a
profs,m a n i f a t u ɾ a d͡ʒ ɯ
predicative,m a n i f a t u ɾ a j ɯ m
accusative,m a n i f a t u ɾ a j ɯ
possessive,m a n i f a t u ɾ a m
citation,m a n i k a
profs,m a n i k a d͡ʒ ɯ
predicative,m a n i k a j ɯ m
accusative,m a n i k a j ɯ
possessive,m a n i k a m
citation,m a n i k y ɾ
profs,m a n i k y ɾ d͡ʒ y
predicative,m a n i k y ɾ y m
accusative,m a n i k y ɾ y
possessive,m a n i k y ɾ y m
citation,m a n i p ɫ e
profs,m a n i p ɫ e d͡ʒ i
predicative,m a n i p ɫ e j i m
accusative,m a n i p ɫ e j i
possessive,m a n i p ɫ e m
citation,m a n i p y ɫ a t œ ɾ
profs,m a n i p y ɫ a t œ ɾ d͡ʒ y
predicative,m a n i p y ɫ a t œ ɾ y m
accusative,m a n i p y ɫ a t œ ɾ y
possessive,m a n i p y ɫ a t œ ɾ y m
citation,m a n i t a
profs,m a n i t a d͡ʒ ɯ
predicative,m a n i t a j ɯ m
accusative,m a n i t a j ɯ
possessive,m a n i t a m
citation,m a n i v e l a
profs,m a n i v e l a d͡ʒ ɯ
predicative,m a n i v e l a j ɯ m
accusative,m a n i v e l a j ɯ
possessive,m a n i v e l a m
citation,m a n k a f a
profs,m a n k a f a d͡ʒ ɯ
predicative,m a n k a f a j ɯ m
accusative,m a n k a f a j ɯ
possessive,m a n k a f a m
citation,m a n k e
profs,m a n k e d͡ʒ i
predicative,m a n k e j i m
accusative,m a n k e j i
possessive,m a n k e m
citation,m a n k e n
profs,m a n k e n d͡ʒ i
predicative,m a n k e n i m
accusative,m a n k e n i
possessive,m a n k e n i m
citation,m a n o l j a
profs,m a n o l j a d͡ʒ ɯ
predicative,m a n o l j a j ɯ m
accusative,m a n o l j a j ɯ
possessive,m a n o l j a m
citation,m a n o m e t ɾ e
profs,m a n o m e t ɾ e d͡ʒ i
predicative,m a n o m e t ɾ e j i m
accusative,m a n o m e t ɾ e j i
possessive,m a n o m e t ɾ e m
citation,m a n s ɯ p
profs,m a n s ɯ p t͡ʃ ɯ
predicative,m a n s ɯ b ɯ m
accusative,m a n s ɯ b ɯ
possessive,m a n s ɯ b ɯ m
citation,m a n s i j o n
profs,m a n s i j o n d͡ʒ u
predicative,m a n s i j o n u m
accusative,m a n s i j o n u
possessive,m a n s i j o n u m
citation,m a n s u b
profs,m a n s u b d͡ʒ u
predicative,m a n s u b u m
accusative,m a n s u b u
possessive,m a n s u b u m
citation,m a n s u ɾ
profs,m a n s u ɾ d͡ʒ u
predicative,m a n s u ɾ u m
accusative,m a n s u ɾ u
possessive,m a n s u ɾ u m
citation,m a n t a ɾ
profs,m a n t a ɾ d͡ʒ ɯ
predicative,m a n t a ɾ ɯ m
accusative,m a n t a ɾ ɯ
possessive,m a n t a ɾ ɯ m
citation,m a n t a ɾ a d͡ʒ ɯ
profs,m a n t a ɾ a t͡ʃ t͡ʃ ɯ
predicative,m a n t a ɾ a d͡ʒ ɯ j ɯ m
accusative,m a n t a ɾ a d͡ʒ ɯ n ɯ
possessive,m a n t a ɾ a d͡ʒ ɯ m
citation,m a n t ɯ
profs,m a n t ɯ d͡ʒ ɯ
predicative,m a n t ɯ j ɯ m
accusative,m a n t ɯ j ɯ
possessive,m a n t ɯ m
accusative,a s ɯ ɾ ɯ
possessive,a s ɯ ɾ ɯ m
citation,m a n t ɯ k
profs,m a n t ɯ k t͡ʃ ɯ
predicative,m a n t ɯ ɯ m
accusative,m a n t ɯ ɯ
possessive,m a n t ɯ ɯ m
citation,m a n t o
profs,m a n t o d͡ʒ u
predicative,m a n t o j u m
accusative,m a n t o j u
possessive,m a n t o m
citation,m e n t o l
profs,m e n t o l   d͡ʒ y
predicative,m e n t o l   y m
accusative,m e n t o l   y
possessive,m e n t o l   y m
citation,m a n j e t i k
profs,m a n j e t i k t͡ʃ i
predicative,m a n j e t i i m
accusative,m a n j e t i i
possessive,m a n j e t i i m
citation,a s i t
profs,a s i t t͡ʃ i
predicative,a s i d i m
accusative,a s i d i
possessive,a s i d i m
citation,m a n j e t i z e
profs,m a n j e t i z e d͡ʒ i
predicative,m a n j e t i z e j i m
accusative,m a n j e t i z e j i
possessive,m a n j e t i z e m
citation,m a n z a ɾ a
profs,m a n z a ɾ a d͡ʒ ɯ
predicative,m a n z a ɾ a j ɯ m
accusative,m a n z a ɾ a j ɯ
possessive,m a n z a ɾ a m
citation,m a n z u m
profs,m a n z u m d͡ʒ u
predicative,m a n z u m u m
accusative,m a n z u m u
possessive,m a n z u m u m
citation,m a p a
profs,m a p a d͡ʒ ɯ
predicative,m a p a j ɯ m
accusative,m a p a j ɯ
possessive,m a p a m
citation,m a ɾ a b a
profs,m a ɾ a b a d͡ʒ ɯ
predicative,m a ɾ a b a j ɯ m
accusative,m a ɾ a b a j ɯ
possessive,m a ɾ a b a m
citation,m e ɾ a l
profs,m e ɾ a l   d͡ʒ i
predicative,m e ɾ a l   i m
accusative,m e ɾ a l   i
possessive,m e ɾ a l   i m
citation,m a ɾ a n g o z
profs,m a ɾ a n g o z d͡ʒ u
predicative,m a ɾ a n g o z u m
accusative,m a ɾ a n g o z u
possessive,m a ɾ a n g o z u m
citation,m a ɾ a t o n
profs,m a ɾ a t o n d͡ʒ u
predicative,m a ɾ a t o n u m
accusative,m a ɾ a t o n u
possessive,m a ɾ a t o n u m
citation,m a ɾ a z
profs,m a ɾ a z d͡ʒ ɯ
predicative,m a ɾ a z ɯ m
accusative,m a ɾ a z ɯ
possessive,m a ɾ a z ɯ m
citation,m a ɾ a z a
profs,m a ɾ a z a d͡ʒ ɯ
predicative,m a ɾ a z a j ɯ m
accusative,m a ɾ a z a j ɯ
possessive,m a ɾ a z a m
citation,a s i d e
profs,a s i d e d͡ʒ i
predicative,a s i d e j i m
accusative,a s i d e j i
possessive,a s i d e m
citation,m a ɾ e ʃ a l
profs,m a ɾ e ʃ a l d͡ʒ i
predicative,m a ɾ e ʃ a l i m
accusative,m a ɾ e ʃ a l i
possessive,m a ɾ e ʃ a l i m
citation,m a ɾ g a ɾ i t
profs,m a ɾ g a ɾ i t t͡ʃ i
predicative,m a ɾ g a ɾ i t i m
accusative,m a ɾ g a ɾ i t i
possessive,m a ɾ g a ɾ i t i m
citation,m a ɾ g a ɾ i t a
profs,m a ɾ g a ɾ i t a d͡ʒ ɯ
predicative,m a ɾ g a ɾ i t a j ɯ m
accusative,m a ɾ g a ɾ i t a j ɯ
possessive,m a ɾ g a ɾ i t a m
citation,m a ɾ i f e t
profs,m a ɾ i f e t t͡ʃ i
predicative,m a ɾ i f e t i m
accusative,m a ɾ i f e t i
possessive,m a ɾ i f e t i m
citation,m a ɾ i n
profs,m a ɾ i n d͡ʒ i
predicative,m a ɾ i n i m
accusative,m a ɾ i n i
possessive,m a ɾ i n i m
citation,m a ɾ i n a
profs,m a ɾ i n a d͡ʒ ɯ
predicative,m a ɾ i n a j ɯ m
accusative,m a ɾ i n a j ɯ
possessive,m a ɾ i n a m
citation,m a ɾ i z
profs,m a ɾ i z d͡ʒ i
predicative,m a ɾ i z i m
accusative,m a ɾ i z i
possessive,m a ɾ i z i m
citation,m a ɾ ʒ
profs,m a ɾ ʒ d͡ʒ ɯ
predicative,m a ɾ ʒ ɯ m
accusative,m a ɾ ʒ ɯ
possessive,m a ɾ ʒ ɯ m
citation,a s i d i k
profs,a s i d i k t͡ʃ i
predicative,a s i d i i m
accusative,a s i d i i
possessive,a s i d i i m
citation,m a ɾ k
profs,m a ɾ k t͡ʃ ɯ
predicative,m a ɾ k ɯ m
accusative,m a ɾ k ɯ
possessive,m a ɾ k ɯ m
citation,m a ɾ k a
profs,m a ɾ k a d͡ʒ ɯ
predicative,m a ɾ k a j ɯ m
accusative,m a ɾ k a j ɯ
possessive,m a ɾ k a m
citation,m a ɾ k a d͡ʒ ɯ
predicative,m a ɾ k a d͡ʒ ɯ j ɯ m
accusative,m a ɾ k a d͡ʒ ɯ j ɯ
possessive,m a ɾ k a d͡ʒ ɯ m
citation,m a ɾ k i
profs,m a ɾ k i d͡ʒ i
predicative,m a ɾ k i j i m
accusative,m a ɾ k i j i
possessive,m a ɾ k i m
citation,m a ɾ m e ɫ a t
profs,m a ɾ m e ɫ a t t͡ʃ ɯ
predicative,m a ɾ m e ɫ a d ɯ m
accusative,m a ɾ m e ɫ a d ɯ
possessive,m a ɾ m e ɫ a d ɯ m
citation,m a ɾ o k e n
profs,m a ɾ o k e n d͡ʒ i
predicative,m a ɾ o k e n i m
accusative,m a ɾ o k e n i
possessive,m a ɾ o k e n i m
citation,m a ɾ ʃ
profs,m a ɾ ʃ t͡ʃ ɯ
predicative,m a ɾ ʃ ɯ m
accusative,m a ɾ ʃ ɯ
possessive,m a ɾ ʃ ɯ m
citation,m a ɾ ʃ a n d i z
profs,m a ɾ ʃ a n d i z d͡ʒ i
predicative,m a ɾ ʃ a n d i z i m
accusative,m a ɾ ʃ a n d i z i
possessive,m a ɾ ʃ a n d i z i m
citation,m a ɾ s ɯ k
profs,m a ɾ s ɯ k t͡ʃ ɯ
predicative,m a ɾ s ɯ ɯ m
accusative,m a ɾ s ɯ ɯ
possessive,m a ɾ s ɯ ɯ m
citation,m a ɾ t
profs,m a ɾ t t͡ʃ ɯ
predicative,m a ɾ t ɯ m
accusative,m a ɾ t ɯ
possessive,m a ɾ t ɯ m
citation,m a ɾ t a v a ɫ
profs,m a ɾ t a v a ɫ d͡ʒ ɯ
predicative,m a ɾ t a v a ɫ ɯ m
accusative,m a ɾ t a v a ɫ ɯ
possessive,m a ɾ t a v a ɫ ɯ m
citation,m a ɾ t ɯ
profs,m a ɾ t ɯ d͡ʒ ɯ
predicative,m a ɾ t ɯ j m
accusative,m a ɾ t ɯ j ɯ
citation,m a ɾ t i n i
profs,m a ɾ t i n i d͡ʒ i
predicative,m a ɾ t i n i j i m
accusative,m a ɾ t i n i j i
possessive,m a ɾ t i n i m
citation,m a ɾ u ɫ
profs,m a ɾ u ɫ d͡ʒ u
predicative,m a ɾ u ɫ u m
accusative,m a ɾ u ɫ u
possessive,m a ɾ u ɫ u m
citation,a s i ɫ e ʃ m e k
aorist,a s i ɫ e ʃ i ɾ
causative,a s i ɫ e ʃ t i ɾ i ɾ
citation,m a ʃ a
profs,m a ʃ a d͡ʒ ɯ
predicative,m a ʃ a j ɯ m
accusative,m a ʃ a j ɯ
possessive,m a ʃ a m
citation,m a ʃ a ɫ ɫ a h
profs,m a ʃ a ɫ ɫ a h t͡ʃ ɯ
predicative,m a ʃ a ɫ ɫ a h ɯ m
accusative,m a ʃ a ɫ ɫ a h ɯ
possessive,m a ʃ a ɫ ɫ a h ɯ m
citation,m a ʃ a t ɫ ɯ k
profs,m a ʃ a t ɫ ɯ k t͡ʃ ɯ
predicative,m a ʃ a t ɫ ɯ ɯ m
accusative,m a ʃ a t ɫ ɯ ɯ
possessive,m a ʃ a t ɫ ɯ ɯ m
citation,m a ʃ ɾ a p a
profs,m a ʃ ɾ a p a d͡ʒ ɯ
predicative,m a ʃ ɾ a p a j ɯ m
accusative,m a ʃ ɾ a p a j ɯ
possessive,m a ʃ ɾ a p a m
citation,a s i ɫ ɫ e ʃ t i ɾ m e k
aorist,a s i ɫ ɫ e ʃ t i ɾ i ɾ
causative,a s i ɫ ɫ e ʃ t i ɾ t i ɾ
citation,m a ʃ ɾ ɯ k
profs,m a ʃ ɾ ɯ k t͡ʃ ɯ
predicative,m a ʃ ɾ ɯ k ɯ m
accusative,m a ʃ ɾ ɯ ɯ
possessive,m a ʃ ɾ ɯ ɯ m
predicative,m a ʃ u u m
citation,m a s a
profs,m a s a d͡ʒ ɯ
predicative,m a s a j ɯ m
accusative,m a s a j ɯ
possessive,m a s a m
citation,m a s a t
profs,m a s a t t͡ʃ ɯ
predicative,m a s a d ɯ m
accusative,m a s a d ɯ
possessive,m a s a d ɯ m
citation,m a s a ʒ
profs,m a s a ʒ d͡ʒ ɯ
predicative,m a s a ʒ ɯ m
accusative,m a s a ʒ ɯ
possessive,m a s a ʒ ɯ m
citation,m a s a ɫ
profs,m a s a ɫ d͡ʒ ɯ
predicative,m a s a ɫ ɯ m
accusative,m a s a ɫ ɯ
possessive,m a s a ɫ ɯ m
citation,m a s a ɾ i f
profs,m a s a ɾ i f t͡ʃ i
predicative,m a s a ɾ i f i m
accusative,m a s a ɾ i f i
possessive,m a s a ɾ i f i m
predicative,m a s a t ɯ m
accusative,m a s a t ɯ
possessive,m a s a t ɯ m
citation,a ʃ ɯ k a n e
profs,a ʃ ɯ k a n e d͡ʒ i
predicative,a ʃ ɯ k a n e j i m
accusative,a ʃ ɯ k a n e j i
possessive,a ʃ ɯ k a n e m
citation,a s i m e t ɾ i k
predicative,a s i m e t ɾ i i m
citation,m a s a t e n i s i
profs,m a s a t e n i s t͡ʃ i
predicative,m a s a t e n i s i j i m
accusative,m a s a t e n i s i n i
possessive,m a s a t e n i s i m
citation,m a s t a ɾ
profs,m a s t a ɾ d͡ʒ ɯ
predicative,m a s t a ɾ ɯ m
accusative,m a s t a ɾ ɯ
possessive,m a s t a ɾ ɯ m
citation,m a s i f
profs,m a s i f t͡ʃ i
predicative,m a s i f i m
accusative,m a s i f i
possessive,m a s i f i m
citation,m a s k
profs,m a s k t͡ʃ ɯ
predicative,m a s k ɯ m
accusative,m a s k ɯ
possessive,m a s k ɯ m
citation,m a s k a ɾ a
profs,m a s k a ɾ a d͡ʒ ɯ
predicative,m a s k a ɾ a j ɯ m
accusative,m a s k a ɾ a j ɯ
possessive,m a s k a ɾ a m
citation,m a s k a ɾ a ɫ a n m a k
aorist,m a s k a ɾ a ɫ a n ɯ ɾ
causative,m a s k a ɾ a ɫ a t ɯ ɾ
citation,m a s k e
profs,m a s k e d͡ʒ i
predicative,m a s k e j i m
accusative,m a s k e j i
possessive,m a s k e m
citation,a s i m i ɫ a s j o n
profs,a s i m i ɫ a s j o n d͡ʒ u
predicative,a s i m i ɫ a s j o n u m
accusative,a s i m i ɫ a s j o n u
possessive,a s i m i ɫ a s j o n u m
citation,m a s k e ɫ e m e k
aorist,m a s k e ɫ e ɾ
causative,m a s k e ɫ e t i ɾ
citation,m a s k o t
profs,m a s k o t t͡ʃ u
predicative,m a s k o t u m
accusative,m a s k o t u
possessive,m a s k o t u m
citation,m a s ɫ a h a t
profs,m a s ɫ a h a t t͡ʃ ɯ
predicative,m a s ɫ a h a t ɯ m
accusative,m a s ɫ a h a t ɯ
possessive,m a s ɫ a h a t ɯ m
citation,m a s m a v i
profs,m a s m a v i d͡ʒ i
predicative,m a s m a v i j i m
accusative,m a s m a v i j i
possessive,m a s m a v i m
citation,m a s œ ɾ
profs,m a s œ ɾ d͡ʒ y
predicative,m a s œ ɾ y m
accusative,m a s œ ɾ y
possessive,m a s œ ɾ y m
citation,m a s o n
profs,m a s o n d͡ʒ u
predicative,m a s o n u m
accusative,m a s o n u
possessive,m a s o n u m
citation,m a s ɾ a f
profs,m a s ɾ a f t͡ʃ ɯ
predicative,m a s ɾ a f ɯ m
accusative,m a s ɾ a f ɯ
possessive,m a s ɾ a f ɯ m
citation,m a s s e d i d͡ʒ i
profs,m a s s e d i d͡ʒ i d͡ʒ i
predicative,m a s s e d i d͡ʒ i j i m
accusative,m a s s e d i d͡ʒ i j i
possessive,m a s s e d i d͡ʒ i m
citation,m a s t e ɾ
profs,m a s t e ɾ d͡ʒ i
predicative,m a s t e ɾ i m
accusative,m a s t e ɾ i
possessive,m a s t e ɾ i m
citation,m a s t i k a
profs,m a s t i k a d͡ʒ ɯ
predicative,m a s t i k a j ɯ m
accusative,m a s t i k a j ɯ
possessive,m a s t i k a m
citation,a s i s t a n
profs,a s i s t a n d͡ʒ ɯ
predicative,a s i s t a n ɯ m
accusative,a s i s t a n ɯ
possessive,a s i s t a n ɯ m
citation,m a s t y ɾ b a s j o n
profs,m a s t y ɾ b a s j o n d͡ʒ u
predicative,m a s t y ɾ b a s j o n u m
accusative,m a s t y ɾ b a s j o n u
possessive,m a s t y ɾ b a s j o n u m
citation,m a s u n
profs,m a s u n d͡ʒ u
predicative,m a s u n u m
accusative,m a s u n u
possessive,m a s u n u m
citation,m a s u ɾ a
profs,m a s u ɾ a d͡ʒ ɯ
predicative,m a s u ɾ a j ɯ m
accusative,m a s u ɾ a j ɯ
possessive,m a s u ɾ a m
citation,m a t
profs,m a t t͡ʃ ɯ
predicative,m a t ɯ m
accusative,m a t ɯ
possessive,m a t ɯ m
citation,m a t a d o ɾ
profs,m a t a d o ɾ d͡ʒ u
predicative,m a t a d o ɾ u m
accusative,m a t a d o ɾ u
possessive,m a t a d o ɾ u m
citation,m a t a f o ɾ a
profs,m a t a f o ɾ a d͡ʒ ɯ
predicative,m a t a f o ɾ a j ɯ m
accusative,m a t a f o ɾ a j ɯ
possessive,m a t a f o ɾ a m
accusative,a s i t i
citation,m a t a h
profs,m a t a h t͡ʃ ɯ
predicative,m a t a h ɯ m
accusative,m a t a h ɯ
possessive,m a t a h ɯ m
citation,m a t a ɾ a
profs,m a t a ɾ a d͡ʒ ɯ
predicative,m a t a ɾ a j ɯ m
accusative,m a t a ɾ a j ɯ
possessive,m a t a ɾ a m
citation,m a t b u
profs,m a t b u d͡ʒ u
predicative,m a t b u j u m
accusative,m a t b u j u
possessive,m a t b u m
citation,m a t b a
profs,m a t b a d͡ʒ ɯ
predicative,m a t b a m
accusative,m a t b a j ɯ
possessive,m a t b a m
citation,m a t e m
profs,m a t e m d͡ʒ i
predicative,m a t e m i m
accusative,m a t e m i
possessive,m a t e m i m
citation,m a t e m a t i k
profs,m a t e m a t i k t͡ʃ i
predicative,m a t e m a t i i m
accusative,m a t e m a t i i
possessive,m a t e m a t i i m
citation,m a t e ɾ j a ɫ i s t
profs,m a t e ɾ j a ɫ i s t t͡ʃ i
predicative,m a t e ɾ j a ɫ i s t i m
accusative,m a t e ɾ j a ɫ i s t i
possessive,m a t e ɾ j a ɫ i s t i m
citation,m a t e t m e k
aorist,m a t e d e ɾ
causative,m a t e t t i ɾ i ɾ
citation,m a t i n e
profs,m a t i n e d͡ʒ i
predicative,m a t i n e j i m
accusative,m a t i n e j i
possessive,m a t i n e m
citation,m a t i z
profs,m a t i z d͡ʒ i
predicative,m a t i z i m
accusative,m a t i z i
possessive,m a t i z i m
citation,m a t k a p
profs,m a t k a p t͡ʃ ɯ
predicative,m a t k a b ɯ m
accusative,m a t k a b ɯ
possessive,m a t k a b ɯ m
predicative,m a t k a p ɯ m
accusative,m a t k a p ɯ
possessive,m a t k a p ɯ m
citation,m a t ɫ a ʃ m a k
aorist,m a t ɫ a ʃ ɯ ɾ
causative,m a t ɫ a ʃ t ɯ ɾ ɯ ɾ
citation,m a t ɫ u p
profs,m a t ɫ u p t͡ʃ u
predicative,m a t ɫ u b u m
accusative,m a t ɫ u b u
possessive,m a t ɫ u b u m
citation,m a t m a z e ɫ
profs,m a t m a z e ɫ d͡ʒ i
predicative,m a t m a z e ɫ i m
accusative,m a t m a z e ɫ i
possessive,m a t m a z e ɫ i m
citation,m a t o ɫ m a k
aorist,m a t o ɫ u ɾ
causative,m a t o ɫ d u ɾ u ɾ
citation,m a t ɾ a h
profs,m a t ɾ a h t͡ʃ ɯ
predicative,m a t ɾ a h ɯ m
accusative,m a t ɾ a h ɯ
possessive,m a t ɾ a h ɯ m
citation,m a t ɾ a k
profs,m a t ɾ a k t͡ʃ ɯ
predicative,m a t ɾ a k ɯ m
accusative,m a t ɾ a ɯ
possessive,m a t ɾ a ɯ m
citation,m a t ɾ u ʃ
profs,m a t ɾ u ʃ t͡ʃ u
predicative,m a t ɾ u ʃ u m
accusative,m a t ɾ u ʃ u
possessive,m a t ɾ u ʃ u m
citation,m a v a ɫ
profs,m a v a ɫ d͡ʒ ɯ
predicative,m a v a ɫ ɯ m
accusative,m a v a ɫ ɯ
possessive,m a v a ɫ ɯ m
citation,m a v i
profs,m a v i d͡ʒ i
predicative,m a v i j i m
accusative,m a v i j i
possessive,m a v i m
citation,m a v i ɫ e ʃ m e k
aorist,m a v i ɫ e ʃ i ɾ
causative,m a v i ɫ e ʃ t i ɾ i ɾ
citation,m a v n a
profs,m a v n a d͡ʒ ɯ
predicative,m a v n a j ɯ m
accusative,m a v n a j ɯ
possessive,m a v n a m
citation,m a v z e ɾ
profs,m a v z e ɾ d͡ʒ i
predicative,m a v z e ɾ i m
accusative,m a v z e ɾ i
possessive,m a v z e ɾ i m
citation,m a j a
profs,m a j a d͡ʒ ɯ
predicative,m a j a j ɯ m
accusative,m a j a j ɯ
possessive,m a j a m
citation,m a j a a a d͡ʒ ɯ
profs,m a j a a a t͡ʃ t͡ʃ ɯ
predicative,m a j a a a d͡ʒ ɯ j ɯ m
accusative,m a j a a a d͡ʒ ɯ n ɯ
possessive,m a j a a a d͡ʒ ɯ m
citation,m a j a s ɯ ɫ
profs,m a j a s ɯ ɫ d͡ʒ ɯ
predicative,m a j a s ɯ ɫ ɯ m
accusative,m a j a s ɯ ɫ ɯ
possessive,m a j a s ɯ ɫ ɯ m
citation,m a j a s ɯ z
profs,m a j a s ɯ z d͡ʒ ɯ
predicative,m a j a s ɯ z ɯ m
accusative,m a j a s ɯ z ɯ
possessive,m a j a s ɯ z ɯ m
citation,m a j d a n o z
profs,m a j d a n o z d͡ʒ u
predicative,m a j d a n o z u m
accusative,m a j d a n o z u
possessive,m a j d a n o z u m
citation,m a j h o ʃ
profs,m a j h o ʃ t͡ʃ u
predicative,m a j h o ʃ u m
accusative,m a j h o ʃ u
possessive,m a j h o ʃ u m
citation,m a j i
profs,m a j i d͡ʒ i
predicative,m a j i j i m
accusative,m a j i j i
possessive,m a j i m
citation,m a j ɯ n
profs,m a j ɯ n d͡ʒ ɯ
predicative,m a j ɯ n ɯ m
accusative,m a j ɯ n ɯ
possessive,m a j ɯ n ɯ m
citation,a s k e ɾ
profs,a s k e ɾ d͡ʒ i
predicative,a s k e ɾ i m
accusative,a s k e ɾ i
