Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1701425679822,01/12/2023 10:14:39,1701425679754,1,01/12/2023 11:14:39,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1701425682272,01/12/2023 10:14:42,1701425682215,1,01/12/2023 11:14:42,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2434.100000023842,,,,,0,1,0,,,,,,Instructions,
3,1701425685974,01/12/2023 10:14:45,1701425685926,1,01/12/2023 11:14:45,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,3703.4000000059605,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,diş
4,1701425686940,01/12/2023 10:14:46,1701425686909,1,01/12/2023 11:14:46,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,4686.300000011921,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,diş
5,1701425688718,01/12/2023 10:14:48,1701425688681,1,01/12/2023 11:14:48,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,6458.5,,,AUDIO PLAY REQUESTED,3,0,1,0,,,,,,Audio Check,diş
6,1701425690119,01/12/2023 10:14:50,1701425690075,1,01/12/2023 11:14:50,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,7852,,,AUDIO PLAY REQUESTED,4,0,1,0,,,,,,Audio Check,diş
7,1701425691170,01/12/2023 10:14:51,1701425691138,1,01/12/2023 11:14:51,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,8915.40000000596,,,AUDIO PLAY REQUESTED,5,0,1,0,,,,,,Audio Check,diş
8,1701425693762,01/12/2023 10:14:53,1701425693733,1,01/12/2023 11:14:53,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,11509.5,,,diş,1,1,0,0,,,,,,Audio Check,diş
9,1701425695375,01/12/2023 10:14:55,1701425695344,1,01/12/2023 11:14:55,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1605,,,,,0,1,0,,,,,,Audio Check,diş
10,1701425695439,01/12/2023 10:14:55,1701425695347,1,01/12/2023 11:14:55,146089,8,task-axcc,,33345904,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,2,yes,Spreadsheet1,,,END TASK,,,,,15593,,,,,0,1,0,,,,,,,
1,1701426019024,01/12/2023 10:20:19,1701426019876,0,01/12/2023 10:20:19,146089,8,task-axcc,,33346118,BLIND,9873146,,complete,,6569b3114b3e7435b590ddfa,mobile,undefined K,Android 10,Chrome 119.0.0.0,892x412,850x304,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,4,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1701426022707,01/12/2023 10:20:22,1701426023622,0,01/12/2023 10:20:23,146089,8,task-axcc,,33346118,BLIND,9873146,,complete,,6569b3114b3e7435b590ddfa,mobile,undefined K,Android 10,Chrome 119.0.0.0,892x412,850x304,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,4,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3642.6999999284744,,,,,0,1,0,,,,,,Instructions,
3,1701426024053,01/12/2023 10:20:24,1701426024961,0,01/12/2023 10:20:24,146089,8,task-axcc,,33346118,BLIND,9873146,,complete,,6569b3114b3e7435b590ddfa,mobile,undefined K,Android 10,Chrome 119.0.0.0,892x412,850x304,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,4,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1314.3000000715256,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,diş
4,1701426026457,01/12/2023 10:20:26,1701426027372,0,01/12/2023 10:20:27,146089,8,task-axcc,,33346118,BLIND,9873146,,complete,,6569b3114b3e7435b590ddfa,mobile,undefined K,Android 10,Chrome 119.0.0.0,892x412,850x304,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,4,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,3722.600000023842,,,diş,1,1,0,0,,,,,,Audio Check,diş
5,1701426028685,01/12/2023 10:20:28,1701426029609,0,01/12/2023 10:20:29,146089,8,task-axcc,,33346118,BLIND,9873146,,complete,,6569b3114b3e7435b590ddfa,mobile,undefined K,Android 10,Chrome 119.0.0.0,892x412,850x304,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,4,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,2210.899999976158,,,,,0,1,0,,,,,,Audio Check,diş
6,1701426028755,01/12/2023 10:20:28,1701426029616,0,01/12/2023 10:20:29,146089,8,task-axcc,,33346118,BLIND,9873146,,complete,,6569b3114b3e7435b590ddfa,mobile,undefined K,Android 10,Chrome 119.0.0.0,892x412,850x304,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,4,,yes,Spreadsheet1,,,END TASK,,,,,9740,,,,,0,1,0,,,,,,,
1,1701426057326,01/12/2023 10:20:57,1701426057245,0,01/12/2023 10:20:57,146089,8,task-axcc,,33346138,BLIND,9873153,,complete,,6569b334c9f626f3f1eb9e71,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,430x932,814x347,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,2,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1701426065502,01/12/2023 10:21:05,1701426065474,0,01/12/2023 10:21:05,146089,8,task-axcc,,33346138,BLIND,9873153,,complete,,6569b334c9f626f3f1eb9e71,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,430x932,814x347,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,2,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8208.000000000004,,,,,0,1,0,,,,,,Instructions,
3,1701426067497,01/12/2023 10:21:07,1701426067464,0,01/12/2023 10:21:07,146089,8,task-axcc,,33346138,BLIND,9873153,,complete,,6569b334c9f626f3f1eb9e71,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,430x932,814x347,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,2,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1984,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,diş
4,1701426074951,01/12/2023 10:21:14,1701426074923,0,01/12/2023 10:21:14,146089,8,task-axcc,,33346138,BLIND,9873153,,complete,,6569b334c9f626f3f1eb9e71,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,430x932,814x347,,,,Audio Check,9,SoundCheckPassed,5,test passed,,,,,2,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,9443,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,diş
