lexeme	etymology	ulcase	id	source
apopleksi	Rom	l	1062
kaftan	Fars	l	10621	ize
kag@ni@	Tr	l	10625	ize
kahi@r	Ar	l	10628	ize
aport	Fr apporter	l	1063	ize
kahvalti@	Fr café au lait	l	10638	ize
kahve	Ar	l	10639	ize
apos@i	Yun	l	1064	ap
kaide	Ar	l	10642	ize
kaim	Ar	l	10644	ize
kaka	Fars	l	10646	ize
aposteriori	Rom	l	1065
kakavan	C@erk	l	10653	ize
apostrof	Rom	l	1066
apotek	Rom	l	1067
kalafat	Itl calafato	l	10674	ize
kalami@s@	Lat calamus	l	10679	ize
appassionato	Rom	l	1068
apraksi	Rom	l	1069
kalbur	Ar	l	10692	ize
kalc@i@n	Itl calzone	l	10696	ize
apre	Rom	l	1070
kalem	Ar	l	10705	ize
apriori	Rom	l	1071
kalfa	Ar	l	10718	ize
apron	Ing	l	1072	ap
kalgi@mak	Tr	l	10720	ize
apse	Fr	l	1074	tdk
kalinos	Yun	l	10743	ct
apsent	Rom	l	1075
apsis	Rom	l	1076
apsu@rt	Rom	l	1077
aptal	Ar	l	1078	ize
kaltaban	Fars	l	10780	ize
kalyon	Itl galeone	l	10786	ize
kama	Erm	l	10788	ize
kamara	Lat camara	l	10789	ize
aptalca	Ar-tr	l	1079	ize
kambur	Yun	l	10797	ize
kamc@i@	Tr kam-c@i@	l	10798	ize
kamc@i@lamak	Tr	l	10799	ize
apteriks	Rom	l	1080
aptes	Fars	l	1081	tdk
kamu	Peh	l	10815	ize
aptesbozan	Fars + ?	l	1082	tdk; ?
kan	Tr	l	10821	ize
apukurya	Yun	l	1083	tdk
kanama	Tr	l	10832	ize
kanamak	Tr	l	10833	ize
kanape	Lat	l	10834	ize
kanarya	Isp canario	l	10836	ize
kanatmak	Tr	l	10840	ize
kanavic@e	Itl canovaccio	l	10842	ize
kanca	Itl gancio	l	10847	ize
ar	Fr are	l	1085	ize
kanci@k	Yun	l	10850	ize
kandil	Ar	l	10859	ize
ara	Tr	l	1086	ize
kangren	Itl cancréna	l	10867	ize
arab	Ak	l	1087	ize
araba	Ar araba	l	1088	ize
arabaci@	Ar-tr	l	1089	ize
kantar	Ar	l	10891	ize
kantaron	Lat	l	10895	ize
arabag@i@	Tr	l	1090	ize
arabesk	Fr	l	1091	ap
kapak	Tr	l	10915	ize
arabi@@	Ak	l	1092	ize
kapama	Tr	l	10921	ize
kapamak	Tr	l	10922	ize
kapan	Tr	l	10923	ize
kapanmak	Tr	l	10926	ize
kaparo	Itl caparra	l	10928	ize
arabozan	Tr +?	l	1093	ize; ?
kapi@	Tr	l	10938	ize
arabulan	Tr	l	1094	ize
arada	Tr	l	1096	ize
kapli@ca	Tr	l	10967	ize
araek	Tr + tr	l	1097	ize
kapmak	Tr	l	10972	ize
arafaz	Tr + yun	l	1098	ize; tdk
kapsu@l	Fr capsule	l	10981	ize
kapuska	Isl	l	10989	ize
aragonit	Rom	l	1099
kaput	Fr capote	l	10991	ize
kara	Tr	l	10994	ize
a@rif	Ar	l	11	s75
ac@i@ortay	Tr + tr	l	110	ize
arak	Ar	l	1100	gh
araka	Yun	l	1101	ct
arakapak	Tr + tr	l	1102	ize
karakol	Tr	l	11020	ize
arakesit	Tr	l	1104	ize
karanli@k	Tr	l	11041	ize
kararma	Tr	l	11048	ize
araki@ye	Ar	l	1105	gh
karavana	Yun	l	11059	ize
arakonakc@i@	Tr	l	1107	ize
arakoruncak	Tr	l	1108	ize
kargas@a	Fars	l	11082	ize
aralamak	Tr	l	1110	ize
arali@	Tr	l	1111	ize
arali@k	Tr	l	1112	ize
aralti@	Tr	l	1113	ize
arama	Tr	l	1114	ize
aramak	Tr	l	1115	ize
karpuz	Fars	l	11155	ize
aranag@me	Tr+?	l	1116	ize
kart	Yun	l	11168	ize
aranc@	Tr	l	1117	ize
aranedencilik	Tr	l	1118	ize
karyola	Itl carriola	l	11188	ize
arani@lmak	Tr	l	1119	ize
kas@an	Tr	l	11196	ize
aranje	Rom	l	1120
aranmak	Tr	l	1121	ize
ararot	Br	l	1122
kasatura	Itl cacciatore	l	11227	ize
aras@id	Fr < yun	l	1123	tdk
kasi@k	Tr	l	11234	ize
aras@it	Fr < yun	l	1124	tdk
aras@ti@ri@ci@	Tr	l	1125	ize
kasket	Fr casquette	l	11250	ize
aras@ti@rma	Tr	l	1126	ize
arasi@	Tr	l	1127	ize
katakulli	Yun	l	11278	ize
arasi@ra	Tr	l	1128	ize
katana	Mac catena	l	11281	ize
katar	Ar	l	11282	ize
